model,package,outcome,phase,code,bucket,seconds,diagnostic,evidence,mechanism
Modelica.Fluid.Examples.AST_BatchPlant.BatchPlant_StandardWater,Fluid.Examples,error,instantiate,EI012,p0a-specialization,27.7,cannot instantiate partial class `Medium.BaseProperties` for component `volume5.medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.AST_BatchPlant.BaseClasses.TankWith3InletOutletArraysWithEvaporatorCondensor,Fluid.Examples,error,typecheck,ET002,p0a-specialization,22.6,"type mismatch: expected `Modelica.Media.Water.WaterIF97_base.ThermodynamicState`, found `Modelica.Media.Interfaces.PartialMedium.ThermodynamicState`",ET002 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.AST_BatchPlant.BaseClasses.InnerTank,Fluid.Examples,error,flatten,EF024,p0a-specialization,21.6,flat variable is missing structured identity: nXi,"a member of the selected package (function, record constant or structural constant `nXi`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.AST_BatchPlant.BaseClasses.Controller,Fluid.Examples,error,dae,ED010,genuinely-new,21.2,invalid Appendix B discrete solved form: a discrete-valued equation must have one unsubscripted resolved coordinate as its left-hand side,"Appendix B discrete solved form rejects a StateGraph inner/outer or array-valued discrete equation; not a Fluid gap, but it blocks a Fluid example through its StateGraph dependency",
Modelica.Fluid.Examples.AST_BatchPlant.BaseClasses.TankWithTopPorts,Fluid.Examples,error,instantiate,EI012,p0a-specialization,22.1,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.AST_BatchPlant.Test.OneTank,Fluid.Examples,error,typecheck,ET001,p0a-specialization,24.4,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.AST_BatchPlant.Test.TwoTanks,Fluid.Examples,error,typecheck,ET001,zero-extent,24.3,unknown member `m_flow` on component reference `topPorts.m_flow` of type `Modelica.Fluid.Vessels.BaseClasses.VesselFluidPorts_a`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.AST_BatchPlant.Test.TankWithEmptyingPipe1,Fluid.Examples,error,typecheck,ET001,zero-extent,23.7,unknown member `m_flow` on component reference `topPorts.m_flow` of type `Modelica.Fluid.Vessels.BaseClasses.VesselFluidPorts_a`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.AST_BatchPlant.Test.TankWithEmptyingPipe2,Fluid.Examples,error,typecheck,ET001,zero-extent,21.7,unknown member `m_flow` on component reference `topPorts.m_flow` of type `Modelica.Fluid.Vessels.BaseClasses.VesselFluidPorts_a`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.AST_BatchPlant.Test.TanksWithEmptyingPipe1,Fluid.Examples,error,typecheck,ET001,zero-extent,24.6,unknown member `m_flow` on component reference `topPorts.m_flow` of type `Modelica.Fluid.Vessels.BaseClasses.VesselFluidPorts_a`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.AST_BatchPlant.Test.TanksWithEmptyingPipe2,Fluid.Examples,error,typecheck,ET001,zero-extent,25.8,unknown member `m_flow` on component reference `topPorts.m_flow` of type `Modelica.Fluid.Vessels.BaseClasses.VesselFluidPorts_a`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Examples.BranchingDynamicPipes,Fluid.Examples,error,instantiate,EI012,p0a-specialization,23.8,cannot instantiate partial class `Medium.BaseProperties` for component `pipe1.mediums[1]`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.ControlledTankSystem.ControlledTanks,Fluid.Examples,error,typecheck,ET002,p0a-specialization,20.5,"type mismatch: expected `Modelica.Media.Interfaces.PartialSimpleMedium.ThermodynamicState`, found `Modelica.Media.Interfaces.PartialMedium.ThermodynamicState`",ET002 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.ControlledTankSystem.Utilities.TankController,Fluid.Examples,error,dae,ED010,genuinely-new,21.4,invalid Appendix B discrete solved form: `normal.stateGraphRoot.suspend` has more than one semantic definition owner,"Appendix B discrete solved form rejects a StateGraph inner/outer or array-valued discrete equation; not a Fluid gap, but it blocks a Fluid example through its StateGraph dependency",
Modelica.Fluid.Examples.ControlledTankSystem.Utilities.NormalOperation,Fluid.Examples,error,dae,ED010,genuinely-new,20.9,invalid Appendix B discrete solved form: `stateGraphRoot.suspend` has more than one semantic definition owner,"Appendix B discrete solved form rejects a StateGraph inner/outer or array-valued discrete equation; not a Fluid gap, but it blocks a Fluid example through its StateGraph dependency",
Modelica.Fluid.Examples.DrumBoiler.DrumBoiler,Fluid.Examples,error,instantiate,EI007,p0a-specialization,23.1,redeclaration error for `criticalPressure`: selected redeclare class has no such member,EI007 on a redeclare/selection route: redeclaration error for `criticalPressure`: selected redeclare class has no such member,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.DrumBoiler.BaseClasses.EquilibriumDrumBoiler,Fluid.Examples,error,instantiate,EI007,p0a-specialization,21.3,redeclaration error for `criticalPressure`: selected redeclare class has no such member,EI007 on a redeclare/selection route: redeclaration error for `criticalPressure`: selected redeclare class has no such member,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.Explanatory.MeasuringTemperature,Fluid.Examples,error,typecheck,ET002,p0a-specialization,24.8,"type mismatch: expected `Modelica.Media.Water.WaterIF97_base.ThermodynamicState`, found `Modelica.Media.Interfaces.PartialMedium.ThermodynamicState`",ET002 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.Explanatory.MomentumBalanceFittings,Fluid.Examples,error,typecheck,ET001,p0a-specialization,22.4,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.HeatExchanger.HeatExchangerSimulation,Fluid.Examples,error,instantiate,EI027,p0a-specialization,21.8,redeclaration of `HeatTransfer` violates constrainedby: `Modelica.Fluid.Examples.HeatExchanger.BaseClasses.BasicHX.HeatTransfer_1` is not a subtype of `Modelica.Fluid.Pipes.BaseClasses.HeatTransfer.PartialFlowHeatTransfer`,EI027 on a redeclare/selection route: redeclaration of `HeatTransfer` violates constrainedby: `Modelica.Fluid.Examples.HeatExchanger.BaseClasses.BasicHX.HeatTransfer_1` is not a subtype of,ALIAS override_map.rs alias-path fallback
